"location_id","location_name","co","no2","o3","pm10","pm25","so2","datetimeUtc","datetimeLocal","timezone","latitude","longitude","country_iso","isMobile","isMonitor","owner_name","provider"
"2161312","Xuân Tảo","280.7","15.3","","15","13.1","","2025-02-04T05:00:00Z","2025-02-04T12:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","288","13.9","","15.1","13.5","","2025-02-04T06:00:00Z","2025-02-04T13:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","324","18.7","","15.6","13.5","","2025-02-04T07:00:00Z","2025-02-04T14:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","364.4","20.1","","16.2","14.2","","2025-02-04T08:00:00Z","2025-02-04T15:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","395.2","22","","17.2","15.1","","2025-02-04T09:00:00Z","2025-02-04T16:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","521.7","18.4","","18.1","15.8","","2025-02-04T10:00:00Z","2025-02-04T17:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","827.7","21.5","","30.6","25.9","","2025-02-04T11:00:00Z","2025-02-04T18:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","1129","27.8","","52.4","43.1","","2025-02-04T12:00:00Z","2025-02-04T19:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","782","22.9","","40.1","34.3","","2025-02-04T13:00:00Z","2025-02-04T20:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","633.9","19.3","","38.7","33","","2025-02-04T14:00:00Z","2025-02-04T21:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","536.4","15.9","","44.4","38.1","","2025-02-04T15:00:00Z","2025-02-04T22:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","390.2","14.7","","37.8","32.2","","2025-02-04T16:00:00Z","2025-02-04T23:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","298.4","13.7","","29.7","25.2","","2025-02-04T17:00:00Z","2025-02-05T00:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","293.2","14","","31","25.8","","2025-02-04T18:00:00Z","2025-02-05T01:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","318.4","17.6","","30.9","23.2","","2025-02-04T19:00:00Z","2025-02-05T02:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","334.8","19.2","","31.9","23.9","","2025-02-04T20:00:00Z","2025-02-05T03:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","380.8","23.3","","34.5","25.9","","2025-02-04T21:00:00Z","2025-02-05T04:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","369.7","26","","30.1","22.6","","2025-02-04T22:00:00Z","2025-02-05T05:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","404.8","20.5","","29.8","22.8","","2025-02-04T23:00:00Z","2025-02-05T06:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","484.9","16.6","","39.2","31.4","","2025-02-05T00:00:00Z","2025-02-05T07:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","586.5","21.7","","48.1","40.8","","2025-02-05T01:00:00Z","2025-02-05T08:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","517.8","23.7","","49.5","41.7","","2025-02-05T02:00:00Z","2025-02-05T09:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","537.2","27.7","","45.3","38.3","","2025-02-05T03:00:00Z","2025-02-05T10:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","649","28.6","","36.7","31.2","","2025-02-05T04:00:00Z","2025-02-05T11:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","616.4","26.8","","32.4","28.1","","2025-02-05T05:00:00Z","2025-02-05T12:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","593.4","27.7","","31.8","27.8","","2025-02-05T06:00:00Z","2025-02-05T13:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","573.7","30.4","","32.3","28.5","","2025-02-05T07:00:00Z","2025-02-05T14:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","654.5","30.8","","36.5","31.2","","2025-02-05T08:00:00Z","2025-02-05T15:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","721.6","42.8","","44.6","38.4","","2025-02-05T09:00:00Z","2025-02-05T16:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","1085.6","61","","47.5","40.6","","2025-02-05T10:00:00Z","2025-02-05T17:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","1021","46.2","","46.1","39.2","","2025-02-05T11:00:00Z","2025-02-05T18:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","698.2","42.7","","68","52","","2025-02-05T12:00:00Z","2025-02-05T19:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
